mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6852047920227051,0.032588143547529466,0.13298850059509276,0.015333811893050442,,sqrt,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.6981132075471698,0.6666666666666666,0.7413793103448276,0.76,0.8141592920353983,0.7360636953188124,0.05090444338025395,7
1.1706968784332275,0.11983359135206763,0.123012113571167,0.01206124904067427,,sqrt,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.6981132075471698,0.6851851851851852,0.7413793103448276,0.7766990291262136,0.7964601769911505,0.7395673818389092,0.043115436526859945,3
0.7643599033355712,0.05538126207039983,0.11167321205139161,0.01920695984702508,,log2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.6981132075471698,0.6666666666666666,0.7413793103448276,0.76,0.8141592920353983,0.7360636953188124,0.05090444338025395,7
1.3142925262451173,0.057908231533707485,0.12506089210510254,0.012725587482228363,,log2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.6981132075471698,0.6851851851851852,0.7413793103448276,0.7766990291262136,0.7964601769911505,0.7395673818389092,0.043115436526859945,3
0.5100973129272461,0.0558733223371573,0.09806227684020996,0.008543585945330173,5,sqrt,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7524752475247525,0.7142857142857143,0.7722772277227723,0.6736842105263158,0.7722772277227723,0.7369999255564654,0.03808746998612384,5
1.0262502193450929,0.025918918257439534,0.15333189964294433,0.015107449301479756,5,sqrt,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.76,0.7142857142857143,0.7647058823529411,0.6808510638297872,0.7843137254901961,0.7408312771917277,0.03776361455336131,1
0.47951455116271974,0.030618968440737228,0.10512104034423828,0.010563091316407732,5,log2,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7524752475247525,0.7142857142857143,0.7722772277227723,0.6736842105263158,0.7722772277227723,0.7369999255564654,0.03808746998612384,5
0.962712287902832,0.07735075980533589,0.1301722526550293,0.010070202090112588,5,log2,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.76,0.7142857142857143,0.7647058823529411,0.6808510638297872,0.7843137254901961,0.7408312771917277,0.03776361455336131,1
0.5476393699645996,0.027504636869467605,0.0960273265838623,0.008829566770682504,10,sqrt,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7647058823529411,0.6666666666666666,0.7567567567567568,0.6804123711340206,0.7927927927927928,0.7322668939406356,0.04961392372253141,9
0.8747083187103272,0.08035527784835723,0.08964309692382813,0.009000103085083337,10,sqrt,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7572815533980582,0.6868686868686869,0.7368421052631579,0.6804123711340206,0.7964601769911505,0.7315729787310149,0.043623215114153735,11
0.4507701873779297,0.02937642856817019,0.07987079620361329,0.004296359728648691,10,log2,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7647058823529411,0.6666666666666666,0.7567567567567568,0.6804123711340206,0.7927927927927928,0.7322668939406356,0.04961392372253141,9
0.7868057250976562,0.046177399372198856,0.06422700881958007,0.005347520295688819,10,log2,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7572815533980582,0.6868686868686869,0.7368421052631579,0.6804123711340206,0.7964601769911505,0.7315729787310149,0.043623215114153735,11
